Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),43.08,10.51,75.72,13785.80,10.70,10.88,11.19,36.95,48.22,57.42,57.89,58.20,66.20,17.95
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,200.93,200.00,201.00,64299.00,200.00,200.00,201.00,201.00,201.00,201.00,201.00,201.00,201.00,0.25
HTTP Chunks Sent,1.00,1.00,1.00,320.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,320.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),62.03,61.91,62.16,19849.34,61.92,61.96,61.97,62.00,62.03,62.06,62.09,62.10,62.12,0.05
HTTP Data Sent (KB),17.25,15.66,18.51,5521.47,16.15,16.45,16.64,16.98,17.24,17.56,17.87,18.06,18.31,0.48
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),6760.56,2641.42,19035.15,2163378.28,3021.55,3436.42,3455.14,3483.35,4148.03,5445.23,17866.74,18376.94,18695.61,5331.91
HTTP Receiving (ms),6319.75,2444.32,18431.68,2022321.06,2821.85,3237.96,3251.27,3278.69,3660.72,4777.83,17240.84,17545.75,18027.03,5123.78
HTTP Sending (ms),0.16,0.13,0.31,51.51,0.13,0.13,0.13,0.14,0.16,0.17,0.20,0.24,0.28,0.03
HTTP Total Time (ms),6760.56,2641.42,19035.15,2163378.28,3021.55,3436.42,3455.14,3483.35,4148.03,5445.23,17866.74,18376.94,18695.61,5331.91
HTTP Waiting (TTFB) (ms),440.64,196.80,3278.74,141005.71,196.97,197.36,197.84,200.98,210.32,607.88,852.96,1334.72,2402.73,433.71
Input Sequence Length (tokens),4000.01,4000.00,4001.00,1280003.00,4000.00,4000.00,4000.00,4000.00,4000.00,4000.00,4000.00,4000.00,4000.00,0.10
Inter Chunk Latency (ms),31.76,9.17,949.74,2022217.46,12.50,13.56,13.72,14.02,16.20,20.36,39.69,42.31,536.68,75.31
Inter Token Latency (ms),31.76,12.28,92.62,10161.90,14.18,16.27,16.34,16.47,18.39,24.01,86.63,88.17,90.59,25.75
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),200.00,200.00,200.00,64000.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,0.00
Output Token Count (tokens),200.00,200.00,200.00,64000.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,0.00
Output Token Throughput Per User (tokens/sec/user),46.26,10.80,81.42,14804.12,11.04,11.34,11.54,42.01,54.37,60.70,61.21,61.46,70.53,19.08
Prefill Throughput Per User (tokens/sec/user),14293.40,1219.85,20301.09,4573888.28,1665.45,2996.47,4688.70,6578.16,18996.61,19880.44,20198.23,20244.33,20282.87,6723.01
Request Latency (ms),6760.31,2641.35,19034.65,2163298.41,3021.39,3436.15,3454.95,3483.03,4147.82,5445.25,17866.20,18376.69,18695.25,5331.84
Time to First Output Token (ms),440.88,197.03,3279.08,141080.95,197.21,197.59,198.04,201.20,210.56,608.07,853.17,1334.92,2403.02,433.73
Time to First Token (ms),440.88,197.03,3279.08,141080.95,197.21,197.59,198.04,201.20,210.56,608.07,853.17,1334.92,2403.02,433.73
Time to Second Token (ms),71.02,10.83,909.03,22724.83,12.54,13.82,14.00,14.26,17.02,47.14,174.12,329.26,852.15,151.10

Metric,Value
Benchmark Duration (sec),70.75
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),904.65
Request Count,320.00
Request Throughput (requests/sec),4.52
Total Input Sequence Length (tokens),1280003.00
Total Output Sequence Length (tokens),64000.00
Total Output Tokens (tokens),64000.00
Total Token Throughput (tokens/sec),18997.76


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
