Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),35.73,22.54,56.69,11432.16,23.72,24.88,24.98,25.20,33.89,45.61,45.78,45.98,51.78,9.89
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,200.94,200.00,201.00,64301.00,200.00,200.00,201.00,201.00,201.00,201.00,201.00,201.00,201.00,0.24
HTTP Chunks Sent,1.00,1.00,1.00,320.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,320.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),62.30,61.94,62.43,19937.54,62.17,62.23,62.25,62.28,62.31,62.33,62.36,62.38,62.41,0.05
HTTP Data Sent (KB),17.29,15.70,18.55,5533.97,16.19,16.49,16.68,17.02,17.28,17.60,17.91,18.10,18.35,0.48
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),6061.83,3527.85,8874.80,1939784.21,3863.38,4350.47,4369.07,4385.42,5903.16,7935.05,8006.47,8038.80,8433.22,1684.48
HTTP Receiving (ms),5561.21,3203.80,7625.41,1779587.55,3533.27,3987.44,4032.92,4057.28,4109.27,7484.56,7574.09,7591.12,7615.69,1629.96
HTTP Sending (ms),0.16,0.13,0.35,51.28,0.13,0.13,0.13,0.14,0.15,0.17,0.20,0.22,0.28,0.03
HTTP Total Time (ms),6061.83,3527.85,8874.80,1939784.21,3863.38,4350.47,4369.07,4385.42,5903.16,7935.05,8006.47,8038.80,8433.22,1684.48
HTTP Waiting (TTFB) (ms),500.45,251.79,2825.84,160145.38,313.32,316.88,319.52,323.95,390.10,433.47,456.73,1671.95,2676.56,456.20
Input Sequence Length (tokens),4008.01,4008.00,4009.00,1282563.00,4008.00,4008.00,4008.00,4008.00,4008.00,4008.00,4008.00,4008.00,4008.00,0.10
Inter Chunk Latency (ms),27.94,8.70,43.71,1779460.83,16.35,19.65,19.95,20.35,21.23,37.13,38.52,39.35,40.68,8.45
Inter Token Latency (ms),27.94,16.10,38.32,8942.01,17.75,20.04,20.26,20.39,20.65,37.61,38.06,38.14,38.27,8.19
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),200.00,200.00,200.00,64000.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,0.00
Output Token Count (tokens),200.00,200.00,200.00,64000.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,0.00
Output Token Throughput Per User (tokens/sec/user),38.99,26.10,62.11,12475.77,26.13,26.22,26.28,26.59,48.43,49.05,49.35,49.91,56.33,10.98
Prefill Throughput Per User (tokens/sec/user),10201.03,1418.18,15897.64,3264329.90,1497.33,2396.78,8771.63,9241.37,10268.66,12362.73,12534.37,12639.65,12784.07,2792.00
Request Latency (ms),6061.50,3527.91,8874.24,1939681.17,3863.25,4350.04,4368.95,4385.20,5902.94,7934.94,8006.10,8038.28,8433.00,1684.41
Time to First Output Token (ms),500.69,252.11,2826.16,160220.35,313.52,317.10,319.76,324.20,390.31,433.70,456.93,1672.25,2676.85,456.22
Time to First Token (ms),500.69,252.11,2826.16,160220.35,313.52,317.10,319.76,324.20,390.31,433.70,456.93,1672.25,2676.85,456.22
Time to Second Token (ms),27.80,10.99,41.92,8894.98,12.97,19.04,20.08,20.47,21.03,37.24,38.51,39.44,40.80,8.69
Usage Completion Tokens (tokens),200.00,200.00,200.00,64000.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,0.00
Usage Prompt Tokens (tokens),4008.01,4008.00,4009.00,1282563.00,4008.00,4008.00,4008.00,4008.00,4008.00,4008.00,4008.00,4008.00,4008.00,0.10
Usage Total Tokens (tokens),4208.01,4208.00,4209.00,1346563.00,4208.00,4208.00,4208.00,4208.00,4208.00,4208.00,4208.00,4208.00,4208.00,0.10

Metric,Value
Benchmark Duration (sec),63.37
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1010.01
Request Count,320.00
Request Throughput (requests/sec),5.05
Total Input Sequence Length (tokens),1282563.00
Total Output Sequence Length (tokens),64000.00
Total Output Tokens (tokens),64000.00
Total Token Throughput (tokens/sec),21250.56
Total Usage Completion Tokens (tokens),64000.00
Total Usage Prompt Tokens (tokens),1282563.00
Total Usage Total Tokens (tokens),1346563.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
