Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),12.11,4.30,59.49,3876.62,4.34,4.79,5.22,6.31,7.28,11.53,30.11,41.50,56.57,11.96
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,200.32,187.00,201.00,64104.00,197.00,198.95,199.00,200.00,201.00,201.00,201.00,201.00,201.00,1.19
HTTP Chunks Sent,1.00,1.00,1.00,320.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,320.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),62.03,61.87,62.15,19848.82,61.93,61.95,61.97,62.00,62.03,62.05,62.08,62.10,62.14,0.04
HTTP Data Sent (KB),17.25,15.66,18.51,5521.47,16.15,16.45,16.64,16.98,17.24,17.56,17.87,18.06,18.31,0.48
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),25187.83,3362.06,46507.17,8060105.71,3535.40,4820.53,6643.43,17345.11,27473.27,31711.88,38281.74,41740.97,46113.62,10837.50
HTTP Receiving (ms),2519.38,2164.87,4044.45,806201.73,2167.41,2182.14,2204.70,2247.47,2314.64,2604.93,3303.50,3509.43,3994.78,444.37
HTTP Sending (ms),0.18,0.13,0.35,58.79,0.14,0.14,0.15,0.15,0.18,0.19,0.23,0.27,0.32,0.04
HTTP Total Time (ms),25187.83,3362.06,46507.17,8060105.71,3535.40,4820.53,6643.43,17345.11,27473.27,31711.88,38281.74,41740.97,46113.62,10837.50
HTTP Waiting (TTFB) (ms),22668.27,1103.31,44294.57,7253845.19,1152.97,2132.60,3579.42,15050.07,25110.74,29442.72,35728.41,39022.87,43777.32,10910.91
Input Sequence Length (tokens),4000.01,4000.00,4001.00,1280003.00,4000.00,4000.00,4000.00,4000.00,4000.00,4000.00,4000.00,4000.00,4000.00,0.10
Inter Chunk Latency (ms),12.65,0.00,237.90,805863.50,9.85,10.42,10.69,10.91,12.04,13.30,16.68,17.52,20.36,3.05
Inter Token Latency (ms),12.66,10.88,20.32,4049.63,10.89,10.96,11.08,11.29,11.63,13.07,16.60,17.63,20.07,2.23
OSL Mismatch Diff % (%),-0.00,-0.50,0.00,-0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
Output Sequence Length (tokens),200.00,199.00,200.00,63999.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,0.06
Output Token Count (tokens),200.00,199.00,200.00,63999.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,0.06
Output Token Throughput Per User (tokens/sec/user),80.97,49.21,91.93,25909.38,49.82,56.71,60.24,76.53,85.98,88.56,90.27,91.27,91.82,11.17
Prefill Throughput Per User (tokens/sec/user),408.16,90.30,3624.58,130610.20,91.37,102.50,111.96,135.86,159.29,265.77,1117.51,1875.49,3468.52,696.93
Request Latency (ms),25186.87,3361.93,46506.71,8059797.38,3535.22,4820.58,6643.35,17344.73,27473.11,31711.62,38281.52,41740.85,46113.37,10837.27
Time to First Output Token (ms),22668.54,1103.58,44294.86,7253933.89,1153.23,2132.81,3579.69,15050.33,25111.02,29442.99,35728.66,39023.11,43777.55,10910.90
Time to First Token (ms),22668.54,1103.58,44294.86,7253933.89,1153.23,2132.81,3579.69,15050.33,25111.02,29442.99,35728.66,39023.11,43777.55,10910.90
Time to Second Token (ms),12.98,9.85,26.50,4152.09,10.22,10.65,10.98,12.13,12.38,13.54,14.72,16.94,20.84,2.09

Metric,Value
Benchmark Duration (sec),258.56
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),247.52
Request Count,320.00
Request Throughput (requests/sec),1.24
Total Input Sequence Length (tokens),1280003.00
Total Output Sequence Length (tokens),63999.00
Total Output Tokens (tokens),63999.00
Total Token Throughput (tokens/sec),5198.10


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
